title,company,location,date_posted,job_url,search_keyword,scraped_at
Data Scientist (H/F),Orange Maroc,"Casablanca-Settat, Maroc",2026-03-17,https://ma.linkedin.com/jobs/view/data-scientist-h-f-at-orange-maroc-4386759776,Data Scientist,2026-03-18T02:30:52.381834
Data Scientist / IA / ML,Capgemini,"Casablanca, Casablanca-Settat, Maroc",2026-03-13,https://ma.linkedin.com/jobs/view/data-scientist-ia-ml-at-capgemini-4383165147,Data Scientist,2026-03-18T02:30:52.382837
AI & Data Scientist,Capgemini Engineering,"Casablanca, Casablanca-Settat, Maroc",2026-03-13,https://ma.linkedin.com/jobs/view/ai-data-scientist-at-capgemini-engineering-4385199908,Data Scientist,2026-03-18T02:30:52.382837
R&D Engineer,ALTEN MAROC,"Fès, Fès-Meknès, Maroc",2026-03-13,https://ma.linkedin.com/jobs/view/r-d-engineer-at-alten-maroc-4382050487,Data Scientist,2026-03-18T02:30:52.383835
Data Scientist Senior,Astek,Casablanca et périphérie,2026-03-11,https://ma.linkedin.com/jobs/view/data-scientist-senior-at-astek-4382866252,Data Scientist,2026-03-18T02:30:52.383835
AI Training Experts - Casablanca,Prolific,Maroc,2026-03-13,https://ma.linkedin.com/jobs/view/ai-training-experts-casablanca-at-prolific-4367158887,Data Scientist,2026-03-18T02:30:52.383835
AI & Automation Intern,Renew Capital,Maroc,2026-03-16,https://ma.linkedin.com/jobs/view/ai-automation-intern-at-renew-capital-4386325350,Data Scientist,2026-03-18T02:30:52.384833
Manager Data Scientist - Casablanca,Artefact,Casablanca et périphérie,2026-03-14,https://ma.linkedin.com/jobs/view/manager-data-scientist-casablanca-at-artefact-3928981813,Data Scientist,2026-03-18T02:30:52.384833
Sénior AI Machine Learning Engineer,Astek,Casablanca et périphérie,2026-03-11,https://ma.linkedin.com/jobs/view/s%C3%A9nior-ai-machine-learning-engineer-at-astek-4382869225,Data Scientist,2026-03-18T02:30:52.384833
Data Scientist Expert,Capgemini Engineering,"Casablanca, Casablanca-Settat, Maroc",2026-03-13,https://ma.linkedin.com/jobs/view/data-scientist-expert-at-capgemini-engineering-4385303584,Data Scientist,2026-03-18T02:30:52.384833
AI Engineer / Data Scientist Expérimenté F/H,Deloitte,"Méchouar de Casablanca, Casablanca-Settat, Maroc",2026-03-11,https://ma.linkedin.com/jobs/view/ai-engineer-data-scientist-exp%C3%A9riment%C3%A9-f-h-at-deloitte-4301694732,Data Scientist,2026-03-18T02:30:52.385834
Associate Data Science Manager,Leyton,"Casablanca, Casablanca-Settat, Maroc",2026-03-17,https://ma.linkedin.com/jobs/view/associate-data-science-manager-at-leyton-4321201825,Data Scientist,2026-03-18T02:30:52.385834
Senior Data Scientist - Casablanca,Artefact,Casablanca et périphérie,2026-03-14,https://ma.linkedin.com/jobs/view/senior-data-scientist-casablanca-at-artefact-3776222663,Data Scientist,2026-03-18T02:30:52.385834
Data Scientist Sénior Python/GCP,SQLI,"Oujda, Oriental, Maroc",2026-03-11,https://ma.linkedin.com/jobs/view/data-scientist-s%C3%A9nior-python-gcp-at-sqli-4366635304,Data Scientist,2026-03-18T02:30:52.386835
GTI -  Postdoctoral Researcher – AI/ML for Energy Systems,UM6P - University Mohammed VI Polytechnic,Maroc,2026-03-15,https://ma.linkedin.com/jobs/view/gti-postdoctoral-researcher-%E2%80%93-ai-ml-for-energy-systems-at-um6p-university-mohammed-vi-polytechnic-4386019055,Data Scientist,2026-03-18T02:30:52.386835
Manager AI Factory,Orange Business,"Casablanca-Settat, Maroc",2026-03-17,https://ma.linkedin.com/jobs/view/manager-ai-factory-at-orange-business-4330828637,Data Scientist,2026-03-18T02:30:52.386835
IA Software Engineer (F/H),Deloitte,"Méchouar de Casablanca, Casablanca-Settat, Maroc",2026-03-12,https://ma.linkedin.com/jobs/view/ia-software-engineer-f-h-at-deloitte-4383923128,Data Scientist,2026-03-18T02:30:52.387835
Ingénieur Engineering (Conception Système),Scalian,"Méchouar de Casablanca, Casablanca-Settat, Maroc",2026-03-12,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-engineering-conception-syst%C3%A8me-at-scalian-4384807592,Data Scientist,2026-03-18T02:30:52.387835
Ingénieur Engineering (Conception Système),Scalian,"Méchouar de Casablanca, Casablanca-Settat, Maroc",2026-03-12,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-engineering-conception-syst%C3%A8me-at-scalian-4384813196,Data Scientist,2026-03-18T02:30:52.388838
DATA DESIGN & DEVELOPMENT ENGINEER (BI/ML/DS),RIBATIS,"Casablanca, Casablanca-Settat, Maroc",2026-03-13,https://ma.linkedin.com/jobs/view/data-design-development-engineer-bi-ml-ds-at-ribatis-4384245457,Data Scientist,2026-03-18T02:30:52.389835
Software Engineer (Trajectory Generation) - Remote,Taskify AI,Maroc,2026-03-16,https://ma.linkedin.com/jobs/view/software-engineer-trajectory-generation-remote-at-taskify-ai-4386503077,Data Scientist,2026-03-18T02:30:52.389835
Senior AI Data Engineer (Microsoft Fabric & Azure),Exakis Nelite,Casablanca et périphérie,2026-03-17,https://ma.linkedin.com/jobs/view/senior-ai-data-engineer-microsoft-fabric-azure-at-exakis-nelite-4386783290,Data Scientist,2026-03-18T02:30:52.389835
Performance Analyst,LabelVie,Casablanca et périphérie,2026-03-17,https://ma.linkedin.com/jobs/view/performance-analyst-at-labelvie-4384473599,Data Scientist,2026-03-18T02:30:52.390835
Software Engineer (MAUI / Mobile),Forterro,"Casablanca, Casablanca-Settat, Maroc",2026-03-13,https://ma.linkedin.com/jobs/view/software-engineer-maui-mobile-at-forterro-4385360484,Data Scientist,2026-03-18T02:30:52.390835
QA Developer,GO & DEV,"Rabat, Rabat-Salé-Kénitra, Maroc",2026-03-17,https://ma.linkedin.com/jobs/view/qa-developer-at-go-dev-4385690587,Data Scientist,2026-03-18T02:30:52.391836
Software Engineer (MAUI / Mobile),Myfactory,"Casablanca, Casablanca-Settat, Maroc",2026-03-13,https://ma.linkedin.com/jobs/view/software-engineer-maui-mobile-at-myfactory-international-gmbh-4385534164,Data Scientist,2026-03-18T02:30:52.391836
Expert technique en tests automatisés,GEC _ Global Experts Consulting,"Casablanca, Casablanca-Settat, Maroc",2026-03-16,https://ma.linkedin.com/jobs/view/expert-technique-en-tests-automatis%C3%A9s-at-gec-global-experts-consulting-4384986937,Data Scientist,2026-03-18T02:30:52.391836
COLCOM - Postdoctoral Fellow in Machine Learning,UM6P - University Mohammed VI Polytechnic,Maroc,2026-03-15,https://ma.linkedin.com/jobs/view/colcom-postdoctoral-fellow-in-machine-learning-at-um6p-university-mohammed-vi-polytechnic-4386005713,Data Scientist,2026-03-18T02:30:52.392836
"Manager, Data, Insights & Analytics, Morocco",The Coca-Cola Company,"Casablanca-Settat, Maroc",2026-03-16,https://ma.linkedin.com/jobs/view/manager-data-insights-analytics-morocco-at-the-coca-cola-company-4386544644,Data Scientist,2026-03-18T02:30:52.392836
Software Engineer (MAUI / Mobile),Abas Ibérica,"Casablanca, Casablanca-Settat, Maroc",2026-03-13,https://ma.linkedin.com/jobs/view/software-engineer-maui-mobile-at-abas-ib%C3%A9rica-4385553664,Data Scientist,2026-03-18T02:30:52.393835
"GSMI - Post-Doctoral Researcher in AI, Autonomy and Digital Platforms for Drones",UM6P - University Mohammed VI Polytechnic,Maroc,2026-03-15,https://ma.linkedin.com/jobs/view/gsmi-post-doctoral-researcher-in-ai-autonomy-and-digital-platforms-for-drones-at-um6p-university-mohammed-vi-polytechnic-4386015175,Data Scientist,2026-03-18T02:30:52.393835
Postdoctoral Researcher in Artificial Intelligence – Large Language Models and BDI Systems,UM6P - University Mohammed VI Polytechnic,Maroc,2026-03-15,https://ma.linkedin.com/jobs/view/postdoctoral-researcher-in-artificial-intelligence-%E2%80%93-large-language-models-and-bdi-systems-at-um6p-university-mohammed-vi-polytechnic-4386013454,Data Scientist,2026-03-18T02:30:52.393835
Ingénieur Full Stack (H/F),Deloitte,"Méchouar de Casablanca, Casablanca-Settat, Maroc",2026-03-12,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-full-stack-h-f-at-deloitte-4373330785,Data Scientist,2026-03-18T02:30:52.394838
"MSN - Postdoc Researcher, Mineral Processing, Battery Materials, & Sustainable Process Engineering",UM6P - University Mohammed VI Polytechnic,Maroc,2026-03-15,https://ma.linkedin.com/jobs/view/msn-postdoc-researcher-mineral-processing-battery-materials-sustainable-process-engineering-at-um6p-university-mohammed-vi-polytechnic-4386007648,Data Scientist,2026-03-18T02:30:52.394838
GSMI - Postdoctoral Researcher in Photovoltaic System Performance,UM6P - University Mohammed VI Polytechnic,Maroc,2026-03-15,https://ma.linkedin.com/jobs/view/gsmi-postdoctoral-researcher-in-photovoltaic-system-performance-at-um6p-university-mohammed-vi-polytechnic-4386021000,Data Scientist,2026-03-18T02:30:52.395835
Embedded Software Development Engineer,indie.inc,"Rabat, Rabat-Salé-Kénitra, Maroc",2026-03-17,https://ma.linkedin.com/jobs/view/embedded-software-development-engineer-at-indie-inc-4311181038,Data Scientist,2026-03-18T02:30:52.395835
Data Engineer – Data Platform & Analytics,Yakeey,"Casablanca, Casablanca-Settat, Maroc",2026-03-16,https://ma.linkedin.com/jobs/view/data-engineer-%E2%80%93-data-platform-analytics-at-yakeey-4385247631,Data Scientist,2026-03-18T02:30:52.396835
Exciting Internship Opportunity at APM Terminals Tangier in IT,APM Terminals,Tanger et périphérie,2026-03-17,https://ma.linkedin.com/jobs/view/exciting-internship-opportunity-at-apm-terminals-tangier-in-it-at-apm-terminals-4386929440,Data Scientist,2026-03-18T02:30:52.396835
Expert technique en tests automatisés,GEC _ Global Experts Consulting,"Casablanca, Casablanca-Settat, Maroc",2026-03-13,https://ma.linkedin.com/jobs/view/expert-technique-en-tests-automatis%C3%A9s-at-gec-global-experts-consulting-4384245453,Data Scientist,2026-03-18T02:30:52.396835
Expert technique en tests automatisés,GEC _ Global Experts Consulting,"Casablanca, Casablanca-Settat, Maroc",2026-03-12,https://ma.linkedin.com/jobs/view/expert-technique-en-tests-automatis%C3%A9s-at-gec-global-experts-consulting-4383900106,Data Scientist,2026-03-18T02:30:52.397835
COLCOM - Postdoctoral Researcher in Machine Learning for Energy Efficient IoT Networks,UM6P - University Mohammed VI Polytechnic,Maroc,2026-03-15,https://ma.linkedin.com/jobs/view/colcom-postdoctoral-researcher-in-machine-learning-for-energy-efficient-iot-networks-at-um6p-university-mohammed-vi-polytechnic-4386020022,Data Scientist,2026-03-18T02:30:52.397835
CBS - Postdoctoral Researcher in Reverse Osmosis Membrane Cleaning and Fouling Control,UM6P - University Mohammed VI Polytechnic,Maroc,2026-03-15,https://ma.linkedin.com/jobs/view/cbs-postdoctoral-researcher-in-reverse-osmosis-membrane-cleaning-and-fouling-control-at-um6p-university-mohammed-vi-polytechnic-4386001849,Data Scientist,2026-03-18T02:30:52.398835
Tech Lead Engineer,Y STRATEGIE,Casablanca et périphérie,2026-03-17,https://ma.linkedin.com/jobs/view/tech-lead-engineer-at-y-strategie-4384461706,Data Scientist,2026-03-18T02:30:52.398835
Software Engineer (MAUI / Mobile),Forterro,Casablanca et périphérie,2026-03-13,https://ma.linkedin.com/jobs/view/software-engineer-maui-mobile-at-forterro-4385365398,Data Scientist,2026-03-18T02:30:52.398835
