title,title_raw,company,location,date_posted,category,skills,job_url,search_keyword,scraped_at,source
Ai Technical Product Manager,AI Technical Product Manager,YOOBIC,Morocco,2026-03-20,Data & AI,,https://ma.linkedin.com/jobs/view/ai-technical-product-manager-at-yoobic-4374039455,Data Architect,2026-03-24T22:40:17.029162,linkedin
Lead Technical Architect (T24),Lead Technical Architect (T24),Temenos,Casablanca,2026-03-19,Other,,https://ma.linkedin.com/jobs/view/lead-technical-architect-t24-at-temenos-4369086202,Data Architect,2026-03-24T22:40:16.904305,linkedin
Solutions Engineer - (French Speaker) Remote,Solutions Engineer - (French Speaker) Remote,Talkpush,Casablanca,2026-03-24,Other,,https://ma.linkedin.com/jobs/view/solutions-engineer-french-speaker-remote-at-talkpush-4389903854,AI Engineer,2026-03-24T22:40:12.691065,linkedin
"Lead Full Stack Python & Ai Developer (Remote, Morocco)","Lead Full Stack Python & AI Developer (Remote, Morocco)",Cloudpso,Rabat,2026-03-24,Data & AI,python,https://ma.linkedin.com/jobs/view/lead-full-stack-python-ai-developer-remote-morocco-at-cloudpso-4389833142,AI Engineer,2026-03-24T22:40:12.673384,linkedin
AI Engineer,AI Engineer (H/F),Saham Bank (Officiel),Casablanca Metropolitan Area,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/ai-engineer-h-f-at-saham-bank-officiel-4388092550,AI Engineer,2026-03-24T22:40:12.638749,linkedin
Automotive Engineering - Emboutissage - Stagiaire F/H,Automotive Engineering - Emboutissage - Stagiaire F/H,Renault Group,Tangier,2026-03-18,Data & AI,,https://ma.linkedin.com/jobs/view/automotive-engineering-emboutissage-stagiaire-f-h-at-renault-group-4386891359,NLP Engineer,2026-03-24T22:40:09.519323,linkedin
Automotive Engineering - Tolerie - Stagiaires F/H,Automotive Engineering - TOLERIE - STAGIAIRES F/H,Renault Group,Tangier,2026-03-18,Data & AI,,https://ma.linkedin.com/jobs/view/automotive-engineering-tolerie-stagiaires-f-h-at-renault-group-4386876965,NLP Engineer,2026-03-24T22:40:09.450718,linkedin
Calculation Engineer Stiffness / Pedestrian Protection / Crash (M/F/D),Calculation Engineer Stiffness / Pedestrian Protection / Crash (m/f/d),Bertrandt Group,Rabat,2026-03-21,Other,,https://ma.linkedin.com/jobs/view/calculation-engineer-stiffness-pedestrian-protection-crash-m-f-d-at-bertrandt-group-4321678334,NLP Engineer,2026-03-24T22:40:09.449944,linkedin
Ingnieur Organisation F/H - Safran Aircraft Engines,Ingnieur organisation F/H - SAFRAN AIRCRAFT ENGINES,AEROCONTACT,Nouacer,2026-03-18,Data & AI,,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-organisation-f-h-safran-aircraft-engines-at-aerocontact-4386309293,NLP Engineer,2026-03-24T22:40:09.449007,linkedin
Ingnieur Workscoping - Ingnierie Industrielle F/H - Safran Aircraft Engines,Ingnieur Workscoping - Ingnierie industrielle F/H - SAFRAN AIRCRAFT ENGINES,AEROCONTACT,Casablanca-Settat,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-workscoping-ing%C3%A9nierie-industrielle-f-h-safran-aircraft-engines-at-aerocontact-4388103273,NLP Engineer,2026-03-24T22:40:09.415388,linkedin
Offre D'Emploi: Ingnieur Fluides Senior (H/F),Offre D'Emploi: Ingnieur Fluides Senior (H/F),LUSEO,Rabat,2026-03-18,Other,,https://ma.linkedin.com/jobs/view/offre-d-emploi-ing%C3%A9nieur-fluides-senior-h-f-at-luseo-4385076268,NLP Engineer,2026-03-24T22:40:09.414632,linkedin
Integration & Deployment Engineering,Integration & Deployment Engineering,IDEMIA Public Security,Casablanca,2026-03-19,Other,,https://ma.linkedin.com/jobs/view/integration-deployment-engineering-at-idemia-public-security-4387706120,NLP Engineer,2026-03-24T22:40:09.412307,linkedin
Run Manager Mer (H/F) Nearshore,RUN Manager MER (H/F) Nearshore,Devoteam,Rabat,2026-03-24,Management,,https://ma.linkedin.com/jobs/view/run-manager-mer-h-f-nearshore-at-devoteam-4370424669,Business Intelligence,2026-03-24T22:38:58.112180,linkedin
Charg De Projet Informatique / Pmo,Charg de projet informatique / PMO,ReSolutionData,Casablanca Metropolitan Area,2026-03-24,Other,,https://ma.linkedin.com/jobs/view/charg%C3%A9-de-projet-informatique-pmo-at-resolutiondata-4389755035,Business Intelligence,2026-03-24T22:38:58.111441,linkedin
Sales Development Representative,Sales Development Representative,Plutus21 Partners,Casablanca,2026-03-24,Other,,https://ma.linkedin.com/jobs/view/sales-development-representative-at-plutus21-partners-4389584645,Business Intelligence,2026-03-24T22:38:58.109904,linkedin
It L1 Support,IT L1 Support,APM Terminals,Tangier Metropolitan Area,2026-03-19,IT & Systems,,https://ma.linkedin.com/jobs/view/it-l1-support-at-apm-terminals-4387623637,Business Intelligence,2026-03-24T22:38:58.096762,linkedin
Chief Brand & Product Communication Officer (F/H),Chief Brand & Product Communication Officer (F/H),Morgan Philips Group,Rabat,2026-03-19,Management,,https://ma.linkedin.com/jobs/view/chief-brand-product-communication-officer-f-h-at-morgan-philips-group-4387341375,Business Intelligence,2026-03-24T22:38:58.094659,linkedin
Tech Lead Bi (H/F),Tech Lead BI (H/F),LabelVie,Casablanca Metropolitan Area,2026-03-19,Data & AI,,https://ma.linkedin.com/jobs/view/tech-lead-bi-h-f-at-labelvie-4385447385,Business Intelligence,2026-03-24T22:38:58.061731,linkedin
Senior Java Software Engineer,Senior Java Software Engineer,Socit Gnrale - Africa Technologies & Services,Casablanca-Settat,2026-03-23,Software Dev,java,https://ma.linkedin.com/jobs/view/senior-java-software-engineer-at-soci%C3%A9t%C3%A9-g%C3%A9n%C3%A9rale-africa-technologies-services-4386685644,Machine Learning Engineer,2026-03-24T22:38:55.049152,linkedin
Ingnieur Ai & Machine Learning,Ingnieur AI & Machine Learning,KWIKS,Casablanca Metropolitan Area,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-ai-machine-learning-at-kwiks-4388079146,Machine Learning Engineer,2026-03-24T22:38:54.958710,linkedin
Office Manager,Office Manager,AiOO Tech,Rabat,2026-03-24,Management,,https://ma.linkedin.com/jobs/view/office-manager-at-aioo-tech-4387589197,Data Analyst,2026-03-24T22:38:07.381621,linkedin
Regional Manager - Agadir,Regional Manager - Agadir,Yakeey,Agadir,2026-03-23,Management,,https://ma.linkedin.com/jobs/view/regional-manager-agadir-at-yakeey-4388970252,Data Analyst,2026-03-24T22:38:07.380386,linkedin
Virtual Assistant,Virtual Assistant,kuubiik,Morocco,2026-03-24,Other,,https://ma.linkedin.com/jobs/view/virtual-assistant-at-kuubiik-4388056736,Data Analyst,2026-03-24T22:38:07.349727,linkedin
Network Support Engineers - Emea,Network Support Engineers - EMEA,Grandstream Networks,Prefecture of Casablanca,2026-03-24,IT & Systems,,https://ma.linkedin.com/jobs/view/network-support-engineers-emea-at-grandstream-networks-4389072866,Data Analyst,2026-03-24T22:38:07.332578,linkedin
Analyst Master Data Management (H/F),Analyst Master Data Management (H/F),Deloitte,Mechouar,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/analyst-master-data-management-h-f-at-deloitte-4389584965,Data Analyst,2026-03-24T22:38:07.331895,linkedin
Home Data Collection Associate (Remote),Home Data Collection Associate (Remote),Re Lytix,Mechouar,2026-03-20,Data & AI,,https://ma.linkedin.com/jobs/view/home-data-collection-associate-remote-at-re-lytix-4388344336,Data Analyst,2026-03-24T22:38:07.331133,linkedin
Cajero/A (Comida Rpida),Cajero/a (comida rpida),RAPID CLASSIC SL,Cercle de Louta,2026-03-22,Other,,https://ma.linkedin.com/jobs/view/cajero-a-comida-r%C3%A1pida-at-rapid-classic-sl-4388762363,Data Analyst,2026-03-24T22:38:07.330101,linkedin
Consultant(E) En Transformation Digitale,Consultant(e) en Transformation Digitale,Sia,Casablanca,2026-03-23,Other,git,https://ma.linkedin.com/jobs/view/consultant-e-en-transformation-digitale-at-sia-4389082237,Data Analyst,2026-03-24T22:38:07.329231,linkedin
Charg(E) D'Affaires M&A Junior (H/F),Charg(e) d'affaires M&A junior (H/F),Saham Bank (Officiel),Prefecture of Casablanca,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/charg%C3%A9-e-d-affaires-m-a-junior-h-f-at-saham-bank-officiel-4374265599,Data Analyst,2026-03-24T22:38:07.328284,linkedin
Consultant Reporting Bi,Consultant reporting BI,DXC Technology Morocco,Rabat,2026-03-18,Other,,https://ma.linkedin.com/jobs/view/consultant-reporting-bi-at-dxc-technology-morocco-4387286656,Data Engineer,2026-03-24T22:38:03.275888,linkedin
Architecte Data,Architecte DATA,Intelcia Tech,Casablanca Metropolitan Area,2026-03-23,Data & AI,,https://ma.linkedin.com/jobs/view/architecte-data-at-intelcia-tech-4389092660,Data Engineer,2026-03-24T22:38:03.274987,linkedin
Senior Ai Engineer,Senior AI Engineer,Waggners Talent,Casablanca-Settat,2026-03-23,Data & AI,,https://ma.linkedin.com/jobs/view/senior-ai-engineer-at-waggners-talent-4386680509,Data Engineer,2026-03-24T22:38:03.273976,linkedin
Engineering Technician,Engineering Technician,Learntastic,Morocco,2026-03-24,Other,,https://ma.linkedin.com/jobs/view/engineering-technician-at-learntastic-4389923849,Data Engineer,2026-03-24T22:38:03.273094,linkedin
"Lead, Data Protection","Lead, Data Protection",Save the Children Colombia,Morocco,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/lead-data-protection-at-save-the-children-colombia-4389473530,Data Engineer,2026-03-24T22:38:03.259940,linkedin
Ingnieur Bi,Ingnieur BI,Silkhom | LUNOPA Group,Casablanca Metropolitan Area,2026-03-23,Other,,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-bi-at-silkhom-lunopa-group-4386696209,Data Engineer,2026-03-24T22:38:03.258091,linkedin
Llmops Engineer (H/F),LLMOps Engineer (H/F),Saham Bank (Officiel),Casablanca Metropolitan Area,2026-03-24,Other,,https://ma.linkedin.com/jobs/view/llmops-engineer-h-f-at-saham-bank-officiel-4388094542,Data Engineer,2026-03-24T22:38:03.256596,linkedin
Data Manager,Data Manager,Publicis Global Delivery (PGD),Prefecture of Casablanca,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/data-manager-at-publicis-global-delivery-pgd-4389462821,Data Engineer,2026-03-24T22:38:03.255421,linkedin
It Business Analyst,IT Business Analyst,SQLI,Rabat,2026-03-19,Data & AI,sql,https://ma.linkedin.com/jobs/view/it-business-analyst-at-sqli-4315402041,Data Analyst,2026-03-24T22:37:38.178374,linkedin
Data & Configuration Senior Analyst,Data & Configuration Senior Analyst,Eaton,Casablanca,2026-03-18,Data & AI,,https://ma.linkedin.com/jobs/view/data-configuration-senior-analyst-at-eaton-4385006932,Data Analyst,2026-03-24T22:37:38.175758,linkedin
Quantitative Consultant,Quantitative Consultant,Phi Partners,Casablanca,2026-03-24,Other,,https://ma.linkedin.com/jobs/view/quantitative-consultant-at-phi-partners-4102999041,Data Analyst,2026-03-24T22:37:38.160107,linkedin
It Business Analyst - Apprentice Uk,IT Business Analyst - Apprentice UK,Ecolab,Morocco,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/it-business-analyst-apprentice-uk-at-ecolab-4389415911,Data Analyst,2026-03-24T22:37:38.145347,linkedin
Business Analyst (F/H),Business Analyst (F/H),Sofrecom Maroc,Rabat,2026-03-18,Data & AI,,https://ma.linkedin.com/jobs/view/business-analyst-f-h-at-sofrecom-maroc-4387278607,Data Analyst,2026-03-24T22:37:38.144426,linkedin
"Senior Analyst (Supply Analytics, Bangkok-Based, Relocation Provided)","Senior Analyst (Supply Analytics, Bangkok-based, Relocation provided)",Agoda,Marrakesh,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/senior-analyst-supply-analytics-bangkok-based-relocation-provided-at-agoda-4299768378,Data Analyst,2026-03-24T22:37:38.125399,linkedin
It Business Analyst,IT Business Analyst,E2IP TECHNOLOGIES,Nouaceur,2026-03-19,Data & AI,,https://ma.linkedin.com/jobs/view/it-business-analyst-at-e2ip-technologies-4366764596,Data Analyst,2026-03-24T22:37:38.124778,linkedin
Consultant Senior - Actuariat Assurance F/H,Consultant Senior - Actuariat Assurance F/H,KPMG au Maroc,Mechouar,2026-03-23,Other,,https://ma.linkedin.com/jobs/view/consultant-senior-actuariat-assurance-f-h-at-kpmg-au-maroc-4387505813,Data Analyst,2026-03-24T22:37:38.124230,linkedin
